2025-08-28 14:55:13 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: exit
2025-08-28 14:55:13 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: exit
2025-08-28 14:55:36 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: exit
2025-08-28 14:55:36 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: exit
2025-08-29 02:42:04 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: status
2025-08-29 02:42:04 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: status
2025-08-29 02:42:11 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: tools
2025-08-29 02:42:11 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: tools
2025-08-30 12:08:05 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: tools
2025-08-30 12:08:05 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: tools
2025-08-30 12:14:58 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: status
2025-08-30 12:14:58 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: status
2025-08-30 12:14:58 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: exit
2025-08-30 12:14:58 | reconforge.user      | INFO     | _log_to_appropriate_logger | [USER] Basic mode command: exit
